TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-27,2026-03-27,FO,NSE,STO,84291,,CDSL,,2026-03-30,2026-03-30,1080.00,CE,CDSL26MAR1080CE,110.70,110.70,94.30,99.00,99.00,148.05,1171.30,99.00,7600,-950,15,8412036.25,15,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,92058,,CDSL,,2026-04-28,2026-04-28,1300.00,PE,CDSL26APR1300PE,123.00,158.15,123.00,155.15,155.00,114.20,1171.30,155.15,178600,40375,152,104099836.25,111,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96712,,CDSL,,2026-04-28,2026-04-28,1200.00,PE,CDSL26APR1200PE,62.35,85.00,60.00,83.40,84.00,54.40,1171.30,83.40,244625,63650,457,276921390.00,427,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96708,,CDSL,,2026-04-28,2026-04-28,1160.00,PE,CDSL26APR1160PE,46.55,63.95,42.95,61.70,62.00,37.65,1171.30,61.70,174800,38950,302,174358012.50,272,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,92064,,CDSL,,2026-04-28,2026-04-28,1420.00,PE,CDSL26APR1420PE,0.00,0.00,0.00,237.10,237.10,237.10,1171.30,244.40,950,0,0,0.00,0,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96726,,CDSL,,2026-04-28,2026-04-28,1360.00,PE,CDSL26APR1360PE,175.00,214.00,175.00,209.10,209.00,161.20,1171.30,209.10,21850,7125,18,13313822.50,15,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96715,,CDSL,,2026-04-28,2026-04-28,1240.00,PE,CDSL26APR1240PE,85.00,110.50,85.00,108.65,107.45,76.05,1171.30,108.65,28500,11400,69,43840647.50,65,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96700,,CDSL,,2026-04-28,2026-04-28,1040.00,PE,CDSL26APR1040PE,20.90,22.65,20.60,22.15,21.10,13.60,1171.30,22.15,1425,1425,8,4032868.75,8,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,92042,,CDSL,,2026-04-28,2026-04-28,980.00,PE,CDSL26APR980PE,11.00,12.75,11.00,11.95,11.55,3.60,1171.30,11.95,1425,1425,6,2826535.00,6,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,92121,,CDSL,,2026-05-26,2026-05-26,1360.00,PE,CDSL26MAY1360PE,0.00,0.00,0.00,122.35,0.00,122.35,1171.30,194.25,0,0,0,0.00,0,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96688,,CDSL,,2026-04-28,2026-04-28,880.00,PE,CDSL26APR880PE,0.00,0.00,0.00,1.95,0.00,1.95,1171.30,0.15,0,0,0,0.00,0,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96621,,CDSL,,2026-03-30,2026-03-30,1420.00,PE,CDSL26MAR1420PE,0.00,0.00,0.00,195.30,195.30,195.30,1171.30,248.05,14725,0,0,0.00,0,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,84298,,CDSL,,2026-03-30,2026-03-30,1120.00,PE,CDSL26MAR1120PE,2.50,4.40,1.25,1.90,2.10,2.45,1171.30,1.90,105925,-17575,411,219207037.50,353,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,92101,,CDSL,,2026-05-26,2026-05-26,1000.00,CE,CDSL26MAY1000CE,0.00,0.00,0.00,351.20,0.00,351.20,1171.30,191.15,0,0,0,0.00,0,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,92063,,CDSL,,2026-04-28,2026-04-28,1420.00,CE,CDSL26APR1420CE,0.00,0.00,0.00,64.30,0.00,64.30,1171.30,2.50,0,0,0,0.00,0,F1,475,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96691,,CDSL,,2026-04-28,2026-04-28,960.00,CE,CDSL26APR960CE,0.00,0.00,0.00,167.00,167.00,167.00,1171.30,217.35,475,0,0,0.00,0,F1,475,,,,,
